Value,Optimal_Count,Actual_Count
0.0,0,18323
0.2,0,48
0.3,0,663
0.5,0,4248
0.7,0,999
0.8,0,167
1.0,0,28447
1.2,0,430
1.3,0,2162
1.5,0,8113
1.7,0,2520
1.8,0,574
2.0,0,29004
2.2,0,596
2.3,0,2207
2.5,0,5581
2.7,0,1705
2.8,0,500
3.0,0,11091
3.2,0,205
3.3,0,458
3.5,0,896
3.7,0,255
3.8,0,88
4.0,0,1355
4.2,0,1
4.3,0,4
4.5,0,7
4.7,0,1
5.0,0,26
