Value,Optimal_Count,Actual_Count
0.0,0,5
0.1,35,33
0.2,8,12
0.3,9,15
0.4,54,103
0.5,214,259
0.6,822,1171
0.7,3473,4371
0.8,11873,14759
0.9,36840,41223
1.0,55299,52471
1.1,27796,23859
1.2,5031,3401
1.3,421,209
1.4,21,5
