Value,Optimal_Count,Actual_Count
0.0,0,115189
0.2,0,608
0.3,0,1481
0.5,0,1800
0.7,0,445
0.8,0,142
1.0,0,1004
1.2,0,1
1.5,0,3
2.0,0,1
