Value,Optimal_Count,Actual_Count
-0.0,0,1
0.2,0,3
0.3,0,5
0.4,0,69
0.5,0,133
0.6,0,480
0.7,0,2204
0.8,0,10296
0.9,0,37062
1.0,0,48248
1.1,0,15343
1.2,0,1671
1.3,0,109
1.4,0,3
