Value,Optimal_Count,Actual_Count
0.0,0,1
0.2,0,1
0.3,0,6
0.4,0,17
0.5,0,70
0.6,0,474
0.7,0,2478
0.8,0,15227
0.9,0,61125
1.0,0,33813
1.1,0,1022
1.2,0,5
