state,Cohen Distance,t_statistic,p_value,num_samples,human_mean,human_std,optimal_mean,optimal_std
0g1y4b,-0.05005579432968529,-4.959604287944056,7.137160490746178e-07,15774,0.9135749645551965,0.0800825609220956,0.9176207760429023,0.08155765853004247
0g2y3b,-0.01453029481034789,-1.3509098596315214,0.17674601763332576,14081,0.9154711792644274,0.08053589885007922,0.9166526213506406,0.08206887296534163
0g3y2b,-0.07829263652705216,-5.80200299538166,6.8128091072603296e-09,7685,0.9161101994709845,0.0798395555590248,0.9223369934766877,0.07921347690513342
3g0y2b,-0.04352714736602427,-6.734516408862851,1.6961879065879576e-11,17403,0.8985335006555563,0.09583621712021262,0.9026896028665718,0.09512294569395999
0g0y5b,-0.0881224642655839,-5.881876322203276,4.226599576211488e-09,7675,0.9074017191891728,0.08257089320481249,0.9143301391606471,0.07445450233668044
1g0y4b,-0.049982135086454924,-3.949280948876409,7.896939818896452e-05,9227,0.9057036954668131,0.08520194793118142,0.9100064466557176,0.08695139734421652
2g0y3b,-0.08655247916378049,-8.377690152697177,6.036654727742187e-17,11273,0.9019459372102168,0.08877125287939455,0.9094768323909584,0.08520361978839174
1g1y3b,-0.032750782610597474,-3.474835593622038,0.0005126067769017331,15041,0.9131478047389421,0.08220851315946742,0.9158464312672866,0.08258326432183617
4g0y1b,-0.04236779256826665,-9.862851133649514,6.930252599776432e-23,17310,0.8776006119696331,0.11094080509273911,0.8822867679475405,0.11026490127481356
3g1y1b,-0.0031976540238371006,-0.46707678421341803,0.6404689721141622,4236,0.8980314114204487,0.09274997559616462,0.8983262379327271,0.091626593154448
2g1y2b,-0.018393667957159,-2.3145167574826364,0.020656584747466115,11725,0.9130493097396736,0.08557566460117015,0.9146130918460448,0.08444817641264528
1g2y2b,-0.028321072393469555,-2.9618210906374074,0.003064808776867708,10972,0.917564846542277,0.08081390262980108,0.9198585422928072,0.08115638324467851
0g4y1b,0.019860543276489145,0.9784285422630485,0.327964872353923,2311,0.9178720329210701,0.08090362656656375,0.9162430469870069,0.08308875505836939
2g2y1b,0.0034873385654801063,0.43660605838692457,0.6624205163936907,4021,0.9111641091343136,0.08793656070629714,0.9108553809221035,0.0890942689735312
1g3y1b,-0.019363001594869828,-1.485701647985127,0.13745733630103718,3176,0.9152670749878616,0.08332194055287323,0.9168940669325674,0.0846975947442321
3g2y0b,0.0020080377500339454,1.0000000000000002,0.3178527388944076,447,0.9001246787413905,0.08915329775722192,0.8999453625179227,0.08924525071131051
1g4y0b,-0.09534645799706581,-3.486971747633274,0.000570398192626619,270,0.9393504878510376,0.06793585299596797,0.9456882195120367,0.06471985745840557
2g3y0b,-0.009235935724433184,-0.8318315776706556,0.4062473488935532,268,0.9235557052202579,0.12066192351053633,0.9246831819825152,0.12302071134406162
0g5y0b,-0.017720569958717854,-0.8393991276310769,0.40214031718174825,225,0.8921763399698668,0.08194264269683318,0.8936262190673087,0.08133013916031687
