entry_id,author,wordle_guesses,num_guesses,wordle_answer,wordle_title,wordle_id,hard_mode
7478,u/mitchdwx,"['steal', 'share', 'shade', 'shape', 'shame', 'shake']",6,shake,Wordle,243,True
7479,u/droford,['shake'],1,shake,Wordle,243,True
7482,u/captainrt,"['earth', 'heals', 'shade', 'shame', 'shake']",5,shake,Wordle,243,True
7483,u/bow_to_tachanka,"['daily', 'ounce', 'seats', 'shake']",4,shake,Wordle,243,False
7484,u/Folk_Legend,"['trace', 'plane', 'shake']",3,shake,Wordle,243,True
7485,u/NateP825,"['teary', 'pious', 'shade', 'shame', 'shake']",5,shake,Wordle,243,False
7486,u/saucyfeet,"['chime', 'shale', 'shape', 'share', 'shade', 'shake']",6,shake,Wordle,243,True
7487,u/SerbianDeath,"['soare', 'shame', 'shake']",3,shake,Wordle,243,True
7488,u/skiffles,"['nurse', 'salve', 'spade', 'skate', 'shake']",5,shake,Wordle,243,True
7489,u/crosser1998,"['caulk', 'beaky', 'drake', 'poake', 'awake', 'shake']",6,shake,Wordle,243,True
7490,u/Crisn232,"['aloud', 'tires', 'nymph', 'shave', 'shake']",5,shake,Wordle,243,False
7491,u/JayouelletHD,"['weary', 'stale', 'shame', 'shape', 'shake']",5,shake,Wordle,243,True
7492,u/CompletelyBee,"['nails', 'stare', 'spade', 'seame', 'swage', 'shake']",6,shake,Wordle,243,True
7493,u/leopardnation10,"['least', 'spade', 'shake']",3,shake,Wordle,243,True
7494,u/trixareforkids_,"['spout', 'shame', 'shave', 'share', 'shake']",5,shake,Wordle,243,True
7496,u/RiStrike,"['write', 'blame', 'spade', 'suave', 'snake', 'shake']",6,shake,Wordle,243,False
7497,u/LackOfAnotherName,"['odium', 'stare', 'shake']",3,shake,Wordle,243,True
7498,u/mehrabrym,"['teary', 'limps', 'dough', 'shake']",4,shake,Wordle,243,False
7500,u/GreatBallsOfH20,"['earth', 'cheap', 'shave', 'shame', 'shade', 'shake']",6,shake,Wordle,243,True
7501,u/wk18_,"['slate', 'share', 'shake']",3,shake,Wordle,243,True
7502,u/mvolling,"['stare', 'scale', 'shake']",3,shake,Wordle,243,True
7503,u/Glittering-Load-9741,"['steak', 'shake']",2,shake,Wordle,243,True
7504,u/-317537-,"['audio', 'feast', 'share', 'shape', 'shame', 'shake']",6,shake,Wordle,243,True
7505,u/123jazzhandz321,"['maple', 'shake']",2,shake,Wordle,243,True
7506,u/2Legit2Quiz,"['mount', 'blade', 'grace', 'shake']",4,shake,Wordle,243,True
7507,u/Ceejay615,"['orate', 'shake']",2,shake,Wordle,243,True
7510,u/poftim,"['quash', 'share', 'moved', 'shape', 'shake']",5,shake,Wordle,243,False
7511,u/Andrewman03,"['crane', 'slade', 'state', 'spake', 'shake']",5,shake,Wordle,243,True
7512,u/MyDearDapple,"['trope', 'scale', 'shade', 'shake']",4,shake,Wordle,243,False
7513,u/Cockonawire,"['audio', 'brake', 'shake']",3,shake,Wordle,243,True
7514,u/trickman01,"['audio', 'apple', 'frame', 'stake', 'snake', 'shake']",6,shake,Wordle,243,True
7515,u/somberterribleruth,"['salet', 'rhino', 'dumpy', 'volks', 'shake']",5,shake,Wordle,243,False
7517,u/wJake1,"['space', 'shame', 'shave', 'shale', 'shade', 'shake']",6,shake,Wordle,243,True
7518,u/nerdy_raconteur,"['caulk', 'prise', 'snake', 'shake']",4,shake,Wordle,243,False
7519,u/Majorpain2006,"['pleat', 'heard', 'shame', 'shave', 'shake']",5,shake,Wordle,243,True
7520,u/FulaCityCreator,"['roate', 'plate', 'apage', 'shake']",4,shake,Wordle,243,True
7521,u/ambushbugger,"['caulk', 'drake', 'shake']",3,shake,Wordle,243,True
7522,u/dragonkyngreborn,"['about', 'mines', 'earls', 'shake']",4,shake,Wordle,243,False
7523,u/InvisibleShade,"['rates', 'opium', 'caulk']",3,caulk,Wordle,242,False
7524,u/quiet_strayan,"['about', 'whale', 'shape', 'shave', 'maker', 'shake']",6,shake,Wordle,243,False
7525,u/Bladedanny,"['soare', 'stale', 'snake', 'shake']",4,shake,Wordle,243,True
7526,u/quiet_strayan,"['about', 'whale', 'shape', 'shave', 'maker', 'shake']",6,shake,Wordle,243,False
7527,u/ConstipationSucks,"['caulk', 'baker', 'kindy', 'house', 'shake']",5,shake,Wordle,243,False
7528,u/VenomOUShazard,"['tried', 'elope', 'shake']",3,shake,Wordle,243,True
7529,u/Aritaen,"['stare', 'shame', 'shade', 'shake']",4,shake,Wordle,243,True
7530,u/CountBregalad,"['adieu', 'blare', 'skate', 'snake', 'shake']",5,shake,Wordle,243,True
7531,u/GeoMap73,"['teams', 'snake', 'shake']",3,shake,Wordle,243,True
7533,u/ElWanderer_KSP,"['crane', 'plate', 'weave', 'adage', 'shake']",5,shake,Wordle,243,True
7534,u/lucevan,"['trams', 'slash', 'shank', 'shake']",4,shake,Wordle,243,True
7535,u/Maximum-Mango-5220,"['crate', 'whale', 'shame', 'shave', 'shape', 'shake']",6,shake,Wordle,243,True
7536,u/NotPvPBorg_,"['farts', 'white', 'shoes', 'swamp', 'shake']",5,shake,Wordle,243,False
7537,u/JeeplessinSeattle,"['those', 'share', 'perms', 'shade', 'veils', 'shake']",6,shake,Wordle,243,False
