entry_id,author,wordle_guesses,num_guesses,wordle_answer,wordle_title,wordle_id,hard_mode
2929,u/lalalindsayyy,"['thing', 'right', 'light']",3,light,Wordle,3,False
2931,u/killaju,"['power', 'lusty', 'light']",3,light,Wordle,226,False
2932,u/jjdynasty,"['night', 'light']",2,light,Wordle,226,False
2934,u/XmertonX,"['power', 'daisy', 'light']",3,light,Wordle,226,False
2935,u/basilfromomori,"['poopy', 'roate', 'timid', 'gifts', 'bigot', 'light']",6,light,Wordle,226,False
2937,u/SerialSnacker12,"['crude', 'paint', 'bigot', 'sight', 'fight', 'light']",6,light,Wordle,226,False
2938,u/been_waiting_forever,"['quilt', 'light']",2,light,Wordle,226,False
2939,u/spookyfanny,"['stone', 'trail', 'light']",3,light,Wordle,226,False
2940,u/Inehmo,"['psalm', 'light']",2,light,Wordle,226,False
2941,u/writierthanyou,"['daisy', 'piece', 'light']",3,light,Wordle,226,False
2942,u/rain820,['light'],1,light,Wordle,226,False
2943,u/1869er,"['audio', 'siren', 'milky', 'light']",4,light,Wordle,226,False
2945,u/gamefish32,"['clink', 'pored', 'maths', 'light']",4,light,Wordle,226,False
2947,u/lavinient,"['plain', 'build', 'liver', 'light']",4,light,Wordle,226,False
2948,u/Aerik,"['adieu', 'might', 'light']",3,light,Wordle,226,False
2949,u/SpicyNuggs4Lyfe,"['raise', 'light']",2,light,Wordle,226,False
2950,u/nerdy_raconteur,"['drift', 'pilot', 'light']",3,light,Wordle,226,False
2951,u/HlBRlD,"['aegis', 'ingot', 'might', 'light']",4,light,Wordle,226,False
2953,u/cardedagain,"['scram', 'pound', 'thief', 'light']",4,light,Wordle,226,False
2955,u/Cicinnurus,"['singe', 'cigar', 'wiggy', 'light']",4,light,Wordle,226,False
2957,u/Elekester,"['later', 'lusty', 'light']",3,light,Wordle,226,True
2960,u/carousel23,"['grout', 'light']",2,light,Wordle,226,True
2962,u/aetelepathy,"['dream', 'point', 'guilt', 'light']",4,light,Wordle,226,False
2963,u/ianjm102,"['sight', 'might', 'right', 'light']",4,light,Wordle,226,False
2964,u/fl_needs_to_restart,"['raise', 'cloud', 'light']",3,light,Wordle,226,False
2965,u/eve_lyn_b,"['adieu', 'story', 'fight', 'might', 'night', 'light']",6,light,Wordle,226,False
2967,u/heartofgraphite,"['loupe', 'limit', 'light']",3,light,Wordle,226,True
2968,u/ThatWackyAlchemy,"['email', 'doily', 'lichi', 'light']",4,light,Wordle,226,False
2969,u/BoardwalkKnitter,"['liter', 'limit', 'light']",3,light,Wordle,226,True
2971,u/9PaperStars,"['claim', 'light']",2,light,Wordle,226,False
2972,u/cougar572,"['aegis', 'youth', 'tight', 'light']",4,light,Wordle,226,False
2973,u/p-u-n-k_girl,"['wrung', 'agate', 'thing', 'fight', 'might', 'light']",6,light,Wordle,226,True
2974,u/p-u-n-k_girl,"['seamy', 'caret', 'yacht', 'ought', 'fight', 'light']",6,light,Wordle,226,False
2975,u/daneelr_olivaw,"['water', 'tough', 'might', 'fight', 'light']",5,light,Wordle,226,True
2978,u/k-chasser,"['teary', 'pious', 'light']",3,light,Wordle,226,False
2979,u/ElWanderer_KSP,['light'],1,light,Wordle,226,False
2980,u/TacoParasite,"['yearn', 'tough', 'hight', 'fight', 'light']",5,light,Wordle,226,False
2981,u/funkymonkeyinheaven,"['dream', 'cough', 'spicy', 'fight', 'light']",5,light,Wordle,226,False
2982,u/Tankobus,"['liars', 'light']",2,light,Wordle,226,False
