entry_id,author,wordle_guesses,num_guesses,wordle_answer,wordle_title,wordle_id,hard_mode
80808,u/Sir0bin,"['stare', 'slate']",2,slate,Wordle,2,True
80809,u/supes1,"['plead', 'slate']",2,slate,Wordle,2,True
80810,u/tfhaenodreirst,"['slain', 'slate']",2,slate,Wordle,2,True
80811,u/cougar572,"['aegis', 'saver', 'slate']",3,slate,Wordle,3,True
80812,u/lobroblaw,"['enact', 'grate', 'ovate', 'plate', 'elate', 'slate']",6,slate,Wordle,6,True
80813,u/SeebieJeebies,"['stare', 'slate']",2,slate,Wordle,2,True
80814,u/peacharnoldpalmer,"['stare', 'skate', 'slate']",3,slate,Wordle,3,True
80816,u/Kamiissan,"['stare', 'slate']",2,slate,Wordle,2,True
80817,u/AnotherAccount4This,"['quick', 'tread', 'slane', 'slate']",4,slate,Wordle,4,False
80818,u/Icy_Time6935,"['music', 'stare', 'slate']",3,slate,Wordle,3,True
80819,u/Mecha_Tortoise,['slate'],1,slate,Wordle,1,True
80820,u/andreasbjorne,"['penis', 'steal', 'salet', 'slate']",4,slate,Wordle,4,True
80821,u/Choice_Thing_5074,"['yeast', 'slate']",2,slate,Wordle,2,True
80822,u/sleigh_queen,"['cream', 'least', 'stale', 'slate']",4,slate,Wordle,4,True
80823,u/BBFStorm,"['snipe', 'slate']",2,slate,Wordle,2,True
80824,u/skytext,['slate'],1,slate,Wordle,1,True
80825,u/dcruzbosco,"['clear', 'slake', 'slate']",3,slate,Wordle,3,True
80826,u/sarysa,"['smith', 'skate', 'slate']",3,slate,Wordle,3,True
80827,u/Edirol1018,['slate'],1,slate,Wordle,1,True
80828,u/euphoriclice,"['stare', 'slate']",2,slate,Wordle,2,True
80829,u/FugitiveAnnie,['slate'],1,slate,Wordle,852,True
80830,u/Elbin_rocks,"['early', 'slate']",2,slate,Wordle,2,True
80831,u/letsdrinktothat,"['ashen', 'stare', 'skate', 'slate']",4,slate,Wordle,4,True
80832,u/prlj,"['stare', 'slate']",2,slate,Wordle,2,True
80833,u/countcraig,"['taper', 'slate']",2,slate,Wordle,2,True
80834,u/jrdndllla,"['raise', 'slate']",2,slate,Wordle,2,True
80835,u/Flameboy42,"['saine', 'stake', 'slate']",3,slate,Wordle,3,True
80836,u/jonesy852,"['bonus', 'slate']",2,slate,Wordle,2,True
80838,u/throooooooowawayyyy1,"['stale', 'slate']",2,slate,Wordle,2,True
80839,u/nothing-nowhere,"['sting', 'slate']",2,slate,Wordle,2,True
80840,u/scooterboy1961,"['salet', 'slate']",2,slate,Wordle,2,True
80841,u/Size--,"['slice', 'bring', 'third']",3,third,Wordle,3,True
80842,u/abdoer2000,"['riant', 'state', 'skate', 'spate', 'slate']",5,slate,Wordle,5,True
80843,u/pianist-on-edge,"['smile', 'prick', 'dairy', 'third']",4,third,Wordle,549,True
80844,u/ObscureFact,"['build', 'later', 'plate', 'slate']",4,slate,Wordle,4,True
80845,u/dimitarnestorov,"['audio', 'gamer', 'steal', 'slate']",4,slate,Wordle,4,True
80846,u/oldpekapeka33,"['stare', 'court', 'third']",3,third,Wordle,3,True
80847,u/P-Helen,"['great', 'tease', 'stale', 'slate']",4,slate,Wordle,4,True
80848,u/ET_616,['slate'],1,slate,Wordle,1,True
80849,u/ET_616,['slate'],1,slate,Wordle,1,True
80850,u/jalissapi,"['raise', 'saute', 'slate']",3,slate,Wordle,3,True
80851,u/2Legit2Quiz,"['drape', 'shake', 'slate']",3,slate,Wordle,3,True
80852,u/NASCARRULES88,"['movie', 'large', 'plate', 'slate']",4,slate,Wordle,852,True
80853,u/dtbm51,"['tweak', 'after', 'haste', 'slate']",4,slate,Wordle,4,True
80854,u/PreventFalls,"['paint', 'trout', 'flats', 'slate']",4,slate,Wordle,4,False
80855,u/ElWanderer_KSP,"['crypt', 'timed', 'slate']",3,slate,Wordle,3,True
80856,u/fivezero_ca,"['rhino', 'bleat', 'slate']",3,slate,Wordle,3,True
80857,u/_TommySalami,"['light', 'stole', 'slate']",3,slate,Wordle,3,True
80858,u/soap_lady,"['trans', 'stale', 'slate']",3,slate,Wordle,3,True
80859,u/khcollett,"['raise', 'stale', 'slate']",3,slate,Wordle,3,True
80860,u/yearn2churn,['slate'],1,slate,Wordle,1,True
80861,u/[deleted],"['anise', 'salve', 'slate']",3,slate,Wordle,3,True
80862,u/HiFiGuy197,"['stole', 'slate']",2,slate,Wordle,2,True
80863,u/hoIygrail,"['heart', 'slate']",2,slate,Wordle,2,True
80864,u/Cease2Resist,['slate'],1,slate,Wordle,1,True
80865,u/FramersAlmaniac,"['child', 'float', 'plate', 'slate']",4,slate,Wordle,4,True
80866,u/GooseEvil,"['alert', 'slate']",2,slate,Wordle,2,True
80867,u/MasqueradeOfSilence,"['atone', 'matte', 'skate', 'slate']",4,slate,Wordle,4,True
80868,u/ChuqTas,"['ocean', 'tulip', 'twist', 'third']",4,third,Wordle,4,True
80869,u/cyrano4833,"['slant', 'slate']",2,slate,Wordle,2,True
80870,u/Paracortex,"['bloat', 'alter', 'elate', 'plate', 'slate']",5,slate,Wordle,5,True
80871,u/bourbondude,"['salet', 'slate', 'salet', 'slate']",4,slate,Wordle,2,True
80872,u/No_Willingness2513,"['smile', 'slope', 'slave', 'slate']",4,slate,Wordle,4,True
80873,u/thekittykaboom,"['raise', 'stale', 'slate']",3,slate,Wordle,3,True
80874,u/soingee,"['thorn', 'stale', 'slate']",3,slate,Wordle,3,True
80875,u/Hydreigon_Lord,"['trash', 'stale', 'slate']",3,slate,Wordle,3,True
