entry_id,author,wordle_guesses,num_guesses,wordle_answer,wordle_title,wordle_id,hard_mode
43271,u/east_cam,"['crane', 'about', 'gloat']",3,gloat,Wordle,367,True
43272,u/LMUK,"['audio', 'roast', 'gloat']",3,gloat,Wordle,367,True
43274,u/eastbayted,"['steam', 'gloat']",2,gloat,Wordle,367,True
43275,u/Sir0bin,"['stare', 'batch', 'tonal', 'gloat']",4,gloat,Wordle,367,True
43276,u/cougar572,"['aegis', 'youth', 'magot', 'groat', 'gloat']",5,gloat,Wordle,367,False
43277,u/958Silver,"['media', 'gloat', 'media', 'float']",4,gloat,Wordle,367,True
43278,u/GurneyHa11eck,"['stear', 'tonal', 'float', 'bloat', 'gloat']",5,gloat,Wordle,367,True
43279,u/khorijinn,"['daily', 'alone', 'bloat', 'gloat']",4,gloat,Wordle,367,True
43280,u/Appleseed1203,"['bread', 'gloat']",2,gloat,Wordle,367,True
43281,u/Ralamadul,"['heist', 'crypt', 'donut', 'aloft', 'bloat', 'gloat']",6,gloat,Wordle,367,True
43282,u/car_guy_doge,"['grade', 'gloat']",2,gloat,Wordle,367,True
43283,u/AnotherAccount4This,"['money', 'clout', 'float', 'bloat', 'gloat']",5,gloat,Wordle,367,True
43284,u/Drunk_Sorting_Hat,"['arose', 'cloak', 'bloat', 'float', 'gloat']",5,gloat,Wordle,367,True
43285,u/Numerous_Football893,"['crane', 'sloth', 'gloat']",3,gloat,Wordle,367,False
43286,u/full-metal-ashtray,"['child', 'lambs', 'plane', 'aloft', 'gloat']",5,gloat,Wordle,367,True
43287,u/badastheboys,"['bread', 'float', 'gloat']",3,gloat,Wordle,367,True
43288,u/prlj,"['stare', 'autos', 'tonal', 'bloat', 'float', 'gloat']",6,gloat,Wordle,367,True
43289,u/sleigh_queen,"['trace', 'satin', 'quota', 'gloat']",4,gloat,Wordle,367,True
43290,u/HmmWhatsHisFace,"['trick', 'depot', 'gloat']",3,gloat,Wordle,367,False
43291,u/sandm000,"['stern', 'float', 'bloat', 'gloat']",4,gloat,Wordle,367,True
43292,u/Ok_Panda9974,"['stern', 'tacit', 'float', 'gloat']",4,gloat,Wordle,367,True
43293,u/opobdtfs,"['input', 'crest', 'bloat', 'gloat']",4,gloat,Wordle,367,True
43294,u/caffeinated_teddy,"['reply', 'blast', 'float', 'gloat']",4,gloat,Wordle,367,True
43295,u/andreasbjorne,"['tears', 'float', 'bloat', 'gloat']",4,gloat,Wordle,367,True
43296,u/madeleineruth19,"['ocean', 'topaz', 'stoat', 'gloat']",4,gloat,Wordle,371,True
43297,u/jalissapi,"['raise', 'mount', 'float', 'bloat', 'gloat']",5,gloat,Wordle,367,False
43298,u/SuzumiyaCham,"['amend', 'carat', 'squat', 'bloat', 'gloat']",5,gloat,Wordle,367,True
43299,u/drkwtrs,"['purse', 'gloat']",2,gloat,Wordle,367,True
43300,u/wildrice777,"['stare', 'patin', 'aloft', 'gloat']",4,gloat,Wordle,367,True
43301,u/MamboTB88,"['shalt', 'alert', 'float', 'bloat', 'gloat']",5,gloat,Wordle,367,True
43302,u/AlarKemmotar,"['trail', 'slant', 'float', 'bloat', 'gloat']",5,gloat,Wordle,367,True
43303,u/LawfulnessUpbeat5646,"['smart', 'vault', 'cleat', 'bloat', 'float', 'gloat']",6,gloat,Wordle,367,True
43304,u/Hydreigon_Lord,"['model', 'talon', 'float', 'bloat', 'gloat']",5,gloat,Wordle,367,True
43305,u/MezzanineFloor,"['shame', 'gaunt', 'gloat']",3,gloat,Wordle,367,True
43306,u/ExposedTamponString,"['wired', 'bough', 'gloat']",3,gloat,Wordle,367,True
43307,u/MasqueradeOfSilence,"['atone', 'float', 'gloat']",3,gloat,Wordle,367,True
43308,u/madisonpalooza,"['begin', 'grasp', 'gamut', 'gloat']",4,gloat,Wordle,367,True
43309,u/BlitzAceSamy,"['loser', 'bling', 'capul', 'awful']",4,awful,Wordle,368,True
43310,u/soap_lady,"['begat', 'gloat']",2,gloat,Wordle,367,True
43311,u/nightlywanderer,"['chaos', 'bloat', 'float', 'gloat']",4,gloat,Wordle,367,False
43312,u/Firstnameiskowitz,"['ditch', 'flame', 'syrup', 'wonky', 'atoll', 'gloat']",6,gloat,Wordle,367,False
43313,u/khcollett,"['raise', 'float', 'bloat', 'gloat']",4,gloat,Wordle,367,True
43314,u/evidens,"['trace', 'hasty', 'float', 'gloat']",4,gloat,Wordle,367,True
43315,u/GreatBallsOfH20,"['false', 'plaid', 'cloak', 'gloat']",4,gloat,Wordle,367,True
43316,u/Trouble1122,"['later', 'blast', 'float', 'gloat']",4,gloat,Wordle,367,True
43317,u/Yatta99,"['audio', 'alone', 'float', 'bloat', 'gloat']",5,gloat,Wordle,367,True
43318,u/soislifee,"['arose', 'quota', 'bloat', 'gloat']",4,gloat,Wordle,367,True
43319,u/likwidfuzion,"['roate', 'bloat', 'gloat']",3,gloat,Wordle,367,True
43320,u/fixedtafernback,"['shear', 'tidal', 'bloat', 'gloat']",4,gloat,Wordle,367,True
43321,u/solming13,"['peach', 'ratio', 'stoma', 'bloat', 'float', 'gloat']",6,gloat,Wordle,367,True
43322,u/shimmerangels,"['orate', 'talon', 'total', 'gloat']",4,gloat,Wordle,367,True
43323,u/Mjcc64,"['stare', 'mould', 'finch', 'bloat', 'gloat']",5,gloat,Wordle,367,False
43325,u/terlinguatx,"['actor', 'shoat', 'gloat']",3,gloat,Wordle,367,True
43326,u/unilateralhope,"['caper', 'shank', 'alloy', 'bloat', 'gloat']",5,gloat,Wordle,367,True
43327,u/eagleslanding,"['suite', 'gloat']",2,gloat,Wordle,367,True
43328,u/fivezero_ca,"['meaty', 'gator', 'gloat']",3,gloat,Wordle,367,True
43329,u/ConfusedByPans,"['salty', 'alter', 'gloat']",3,gloat,Wordle,367,False
43330,u/RyanReignbow,"['arise', 'batch', 'topaz', 'gloat']",4,gloat,Wordle,367,True
43331,u/drinkablechobani,"['clone', 'glory', 'gloat']",3,gloat,Wordle,367,True
