entry_id,author,wordle_guesses,num_guesses,wordle_answer,wordle_title,wordle_id,hard_mode
51564,u/tooooooodayrightnow,"['raise', 'mouth', 'smoot', 'stomp']",4,stomp,Wordle,404,False
51566,u/3n1gma302,"['least', 'couth', 'potty', 'motto']",4,motto,Wordle,403,True
51567,u/spronston,"['crate', 'shout', 'stomp']",3,stomp,Wordle,404,True
51568,u/lyovi,"['great', 'touch', 'stomp']",3,stomp,Wordle,404,True
51569,u/KingD123,"['scout', 'toker', 'month', 'motty', 'motto']",5,motto,Wordle,403,True
51570,u/Sponxy,"['ghost', 'storm', 'stomp']",3,stomp,Wordle,404,True
51571,u/Myhido,"['crise', 'spank', 'stomp']",3,stomp,Wordle,404,True
51572,u/Cordelia1167,"['arise', 'sloth', 'stomp']",3,stomp,Wordle,404,True
51573,u/soleilady,"['arise', 'mould', 'monty', 'motto']",4,motto,Wordle,403,True
51574,u/Happifier,"['aegis', 'spout', 'stoop', 'stomp']",4,stomp,Wordle,404,True
51575,u/andreasbjorne,"['tears', 'misty', 'moust', 'stomp']",4,stomp,Wordle,404,True
51576,u/clockworKKKK,"['lance', 'rusty', 'stomp']",3,stomp,Wordle,404,True
51577,u/Hesh707,"['alien', 'shock', 'story', 'stomp']",4,stomp,Wordle,404,True
51578,u/terlinguatx,"['alone', 'south', 'dotty', 'motto']",4,motto,Wordle,403,True
51579,u/voornaam1,"['given', 'buoys', 'patch', 'stoop', 'stomp']",5,stomp,Wordle,404,False
51580,u/NineElements,"['synth', 'stake', 'stood', 'stout', 'storm', 'stomp']",6,stomp,Wordle,404,True
51581,u/5tr4nGe,"['audio', 'entry', 'stoop', 'stomp']",4,stomp,Wordle,404,False
51584,u/Gushami,"['price', 'spunk', 'swoop', 'stomp']",4,stomp,Wordle,404,True
51585,u/yorky1800,"['flask', 'shine', 'stoop', 'stomp']",4,stomp,Wordle,404,True
51586,u/ET_616,"['pious', 'sport', 'stomp']",3,stomp,Wordle,404,True
51587,u/oldpekapeka33,"['stare', 'could', 'stoop', 'stomp']",4,stomp,Wordle,404,False
