entry_id,author,wordle_guesses,num_guesses,wordle_answer,wordle_title,wordle_id,hard_mode
12609,u/Respective,"['crane', 'nasty']",2,nasty,Wordle,256,True
12610,u/Hot_Philosopher_6462,"['saner', 'nasty']",2,nasty,Wordle,256,True
12611,u/VardaElentari86,"['draws', 'spout', 'tease', 'finch', 'antsy', 'nasty']",6,nasty,Wordle,256,False
12612,u/ZappySnap,"['crane', 'panty', 'nasty']",3,nasty,Wordle,256,True
12613,u/kadfr,"['stare', 'tanks', 'nasty']",3,nasty,Wordle,256,True
12614,u/droford,"['prank', 'north', 'thorn']",3,thorn,Wordle,248,True
12615,u/Ambitious_Food_1664,"['reals', 'satin', 'nasty']",3,nasty,Wordle,256,True
12616,u/FriedYogaMats,"['tears', 'satin', 'nasty']",3,nasty,Wordle,256,True
12617,u/JayouelletHD,"['weary', 'salty', 'fount', 'nasty']",4,nasty,Wordle,256,False
12618,u/mrutherford1106,"['crane', 'nasty']",2,nasty,Wordle,256,True
12619,u/Linkyboy26,"['stare', 'blast', 'tasty', 'pasty', 'masty', 'nasty']",6,nasty,Wordle,256,True
12620,u/[deleted],"['soare', 'pains', 'nasty']",3,nasty,Wordle,256,True
12621,u/moselth,"['paint', 'natch', 'nasty']",3,nasty,Wordle,256,True
12622,u/featheryowls,"['rupee', 'thing', 'knots', 'nasty']",4,nasty,Wordle,256,True
12623,u/lavinient,"['stoke', 'crust', 'tasty', 'nasty']",4,nasty,Wordle,256,True
12624,u/antenir,"['chart', 'table', 'satin', 'nasty']",4,nasty,Wordle,256,True
12625,u/topological-donut,"['penis', 'snort', 'nasty']",3,nasty,Wordle,256,True
12626,u/MrSparklepantz,"['ashen', 'nasty']",2,nasty,Wordle,256,True
12627,u/NakedSnakeEyes,"['gains', 'nasty']",2,nasty,Wordle,256,True
12628,u/17irises,"['adieu', 'tryst', 'stays', 'nasty']",4,nasty,Wordle,256,False
12629,u/thiorymos,"['urban', 'snack', 'nasty']",3,nasty,Wordle,256,True
12630,u/ambushbugger,"['rupee', 'solid', 'washy', 'tasty', 'nasty']",5,nasty,Wordle,256,True
12631,u/DaphneWeasley,"['strap', 'taste', 'hasty', 'nasty']",4,nasty,Wordle,256,False
12632,u/Marlon_M,"['grant', 'pants', 'nasty']",3,nasty,Wordle,256,True
12633,u/addictus_black,"['later', 'paint', 'nasty']",3,nasty,Wordle,256,True
12634,u/hc_84,"['crate', 'pasty', 'nasty']",3,nasty,Wordle,256,True
12635,u/ElWanderer_KSP,"['crypt', 'smile', 'found', 'nasty']",4,nasty,Wordle,256,False
12636,u/Groovygranny121760,"['tease', 'satin', 'nasty']",3,nasty,Wordle,256,True
12637,u/cloelia,"['adieu', 'pants', 'nasty']",3,nasty,Wordle,256,True
12638,u/lucevan,"['stand', 'nasty']",2,nasty,Wordle,256,True
12639,u/zeroandthirty,"['orate', 'pasty', 'nasty']",3,nasty,Wordle,256,True
12640,u/CarterBennett,"['rusty', 'pesty', 'fisty', 'nasty']",4,nasty,Wordle,256,True
12641,u/No-Membership-8120,"['crwth', 'slate', 'pants', 'nasty']",4,nasty,Wordle,256,True
12642,u/poftim,"['roman', 'dance', 'paint', 'nasty']",4,nasty,Wordle,256,True
12643,u/BigcatTV,"['exude', 'salon', 'mason', 'never', 'nasty']",5,nasty,Wordle,256,False
12644,u/AikaSkies,"['sonic', 'nasty']",2,nasty,Wordle,256,True
12645,u/IllustriousAge9689,"['mayor', 'tawny', 'panty', 'nasty']",4,nasty,Wordle,256,True
12646,u/LaceyDeumos,"['steam', 'covin', 'pants', 'nasty']",4,nasty,Wordle,256,False
12647,u/scampifried,"['irate', 'pasty', 'hasty', 'tasty', 'nasty']",5,nasty,Wordle,256,True
12648,u/Willem-de-Kooning,"['yours', 'sandy', 'nasty']",3,nasty,Wordle,256,True
12649,u/bungle_bogs,"['stare', 'waist', 'hasty', 'nasty']",4,nasty,Wordle,256,True
12650,u/Yepyep911,"['spate', 'vista', 'hasty', 'nasty']",4,nasty,Wordle,256,True
12651,u/Michaali,"['plead', 'thank', 'matin', 'nacho', 'nasty']",5,nasty,Wordle,256,False
12652,u/Vishesh1234,"['mason', 'nasty']",2,nasty,Wordle,256,True
12653,u/Frechyfrites,"['super', 'basic', 'nasty']",3,nasty,Wordle,256,True
12654,u/badmother,"['paint', 'talon', 'nasty']",3,nasty,Wordle,256,True
12655,u/Qihai7,"['chair', 'lawed', 'tasty', 'nasty']",4,nasty,Wordle,256,True
12656,u/badbutt21,"['truce', 'hasty', 'nasty']",3,nasty,Wordle,256,True
12657,u/BingoBongoBang,"['vexed', 'ghost', 'still', 'pasty', 'tasty', 'nasty']",6,nasty,Wordle,256,True
12658,u/isthisdutch,"['house', 'flair', 'pasta', 'nasty']",4,nasty,Wordle,256,False
12659,u/n9obs_win,"['saith', 'caste', 'nasty']",3,nasty,Wordle,256,True
12660,u/PlanetNilknarf,"['scout', 'taser', 'pasta', 'hasty', 'tasty', 'nasty']",6,nasty,Wordle,256,True
12661,u/pineintheaspen,"['crane', 'naked', 'nasty']",3,nasty,Wordle,256,True
12662,u/peacharnoldpalmer,"['point', 'tense', 'nasty']",3,nasty,Wordle,256,True
12663,u/ryeshoes,"['tubes', 'fling', 'wordy', 'antsy']",5,nasty,Wordle,256,False
12664,u/carokanncoder,"['arise', 'pound', 'clans', 'nasty']",4,nasty,Wordle,256,False
12665,u/Revotix,"['crane', 'nails', 'nasty']",3,nasty,Wordle,256,True
12666,u/evidens,"['trace', 'pasty', 'tasty', 'hasty', 'nasty']",5,nasty,Wordle,256,True
12668,u/plexust,"['child', 'stark', 'waste', 'pasty', 'nasty']",5,nasty,Wordle,256,True
12669,u/jkthms,"['poise', 'shard', 'nasty']",3,nasty,Wordle,256,True
12670,u/Sir0bin,"['stare', 'waist', 'tacos', 'hasty', 'nasty']",5,nasty,Wordle,256,True
12671,u/BluePenguin130,"['steam', 'astun', 'nasty']",3,nasty,Wordle,256,True
12672,u/madeleineruth19,"['awoke', 'audio', 'pants', 'nasty']",4,nasty,Wordle,256,True
12673,u/pyrotech911,"['trace', 'paint', 'nasty']",3,nasty,Wordle,256,True
12674,u/phantindy,"['trace', 'waits', 'salty', 'nasty']",4,nasty,Wordle,256,True
12675,u/psychosocialclub2075,"['purge', 'blond', 'naive', 'nasty']",4,nasty,Wordle,256,True
12676,u/avocadodreamink,"['stare', 'plats', 'tasty', 'nasty']",4,nasty,Wordle,256,True
12677,u/cougar572,"['aegis', 'youth', 'tasty', 'nasty']",4,nasty,Wordle,256,False
12678,u/Sparksman91,"['soare', 'pasty', 'tasty', 'hasty', 'nasty']",5,nasty,Wordle,256,True
12679,u/Immortalrh88,"['until', 'meant', 'nasty']",3,nasty,Wordle,256,True
12680,u/Jiujiumao-caiwen,"['stink', 'nasty']",2,nasty,Wordle,256,True
12681,u/LISSAGASM,"['misty', 'nasty']",2,nasty,Wordle,256,True
12682,u/Drunk_Sorting_Hat,"['arose', 'stain', 'nasty']",3,nasty,Wordle,256,True
12683,u/zone9771,"['treat', 'onion', 'chant', 'nasty']",4,nasty,Wordle,256,False
12684,u/Majestic-Ganache-822,"['crest', 'shite', 'plats', 'sassy', 'tasty', 'nasty']",6,nasty,Wordle,256,False
12685,u/abaca002,"['rupee', 'moist', 'stalk', 'nasty']",4,nasty,Wordle,256,True
12686,u/3am_blackcoffee,"['bound', 'night', 'nasty']",3,nasty,Wordle,256,True
12687,u/latteboy50,"['heart', 'tails', 'pasta', 'nasty']",4,nasty,Wordle,256,True
12688,u/NatStr9430,"['stake', 'ghost', 'tears', 'would', 'stars', 'nasty']",6,nasty,Wordle,256,False
12689,u/dragonkyngreborn,"['about', 'mines', 'nasty']",3,nasty,Wordle,256,False
12690,u/Appropriate_Month582,"['score', 'hasty', 'tasty', 'pasty', 'nasty']",5,nasty,Wordle,256,True
12691,u/Appropriate_Month582,"['score', 'hasty', 'tasty', 'pasty', 'nasty']",5,nasty,Wordle,256,True
12692,u/DeVilleBT,"['stare', 'autos', 'tasty', 'hasty', 'nasty']",5,nasty,Wordle,256,True
12693,u/DeVilleBT,"['stare', 'autos', 'tasty', 'hasty', 'nasty']",5,nasty,Wordle,256,True
12694,u/RedHotFromAkiak,"['snore', 'gains', 'basin', 'nasty']",4,nasty,Wordle,256,True
12695,u/Ninwa,"['train', 'pants', 'nasty']",3,nasty,Wordle,256,True
12696,u/SewenNewes,"['raise', 'sandy', 'nasty']",3,nasty,Wordle,256,True
12697,u/MidnightExcursion,"['raise', 'pasty', 'tasty', 'hasty', 'nasty']",5,nasty,Wordle,256,True
12698,u/BrunoStalky,"['adieu', 'salon', 'nasty']",3,nasty,Wordle,256,True
12700,u/vermontgirl,"['steam', 'trash', 'patsy', 'tasty', 'nasty']",5,nasty,Wordle,256,True
12701,u/carpediam,"['salty', 'tasty', 'hasty', 'pasty', 'nasty']",5,nasty,Wordle,256,True
12702,u/stewartthehuman,"['tenet', 'gnats', 'nasty']",3,nasty,Wordle,256,False
12703,u/likwidfuzion,"['roate', 'faith', 'salty', 'nasty']",4,nasty,Wordle,256,True
12704,u/Jf177,"['adorn', 'nasty']",2,nasty,Wordle,256,True
12705,u/porter3851,"['price', 'found', 'nasty']",3,nasty,Wordle,256,True
12706,u/missaligondor,"['beans', 'saint', 'nasty']",3,nasty,Wordle,256,True
12707,u/wildrice777,"['stare', 'tanks', 'nasty']",3,nasty,Wordle,256,True
12708,u/msVeracity,"['least', 'malts', 'nasty']",3,nasty,Wordle,256,True
12709,u/buy_scale,"['froth', 'suite', 'pasty', 'tasty', 'vasty', 'nasty']",6,nasty,Wordle,256,True
12710,u/Lch__,"['alien', 'antsy', 'nasty']",3,nasty,Wordle,256,True
12711,u/TonightRemote,"['later', 'taint', 'panto', 'nasty']",4,nasty,Wordle,256,True
12712,u/gruffabro,"['sloth', 'baste', 'pasta', 'masts', 'nasty']",5,nasty,Wordle,256,True
12713,u/cormunicat,"['spurt', 'boats', 'tasty', 'hasty', 'nasty']",5,nasty,Wordle,256,True
12714,u/Pokoire,"['march', 'sandy', 'nasty']",3,nasty,Wordle,256,True
12715,u/ArkBass,"['truly', 'stony', 'nasty']",3,nasty,Wordle,256,True
12716,u/ArchieBunkerWasRight,['noise'],2,nasty,Wordle,256,False
12717,u/Bluesky0089,"['field', 'brush', 'smock', 'wants', 'nasty']",5,nasty,Wordle,256,True
12718,u/royalneonbird,"['actor', 'beast', 'pants', 'nasty']",4,nasty,Wordle,256,True
12719,u/Gunther_21,"['slant', 'nasty']",2,nasty,Wordle,256,True
12720,u/New_Exchange195,"['night', 'males', 'nasty']",3,nasty,Wordle,256,False
12721,u/DillRoddington,"['salet', 'tasty', 'nasty']",3,nasty,Wordle,256,True
12722,u/New_Exchange195,"['night', 'males', 'nasty']",3,nasty,Wordle,256,False
12723,u/EnderAaxel,"['arise', 'clout', 'stamp', 'nasty']",4,nasty,Wordle,256,False
12724,u/andronicus_14,"['scare', 'nasty']",2,nasty,Wordle,256,True
12725,u/Gregmontroni,"['crane', 'nasty']",2,nasty,Wordle,256,True
12726,u/essun_mae5,"['sauce', 'waist', 'hasty', 'pasty', 'tasty', 'nasty']",6,nasty,Wordle,256,True
12727,u/spellbookwanda,"['sport', 'takes', 'hasty', 'nasty']",4,nasty,Wordle,256,True
12728,u/GreatBallsOfH20,"['other', 'slant', 'pants', 'nasty']",4,nasty,Wordle,256,True
12729,u/JeeplessinSeattle,"['smile', 'north', 'nasty']",3,nasty,Wordle,256,False
12730,u/[deleted],"['their', 'stops', 'musty', 'nasty']",4,nasty,Wordle,256,True
12731,u/SequesteredSharpie,"['learn', 'nasty']",2,nasty,Wordle,256,True
12732,u/paratha_papiii,"['sound', 'nasty']",2,nasty,Wordle,256,True
12733,u/KEEPCARLM,"['saint', 'nasty']",2,nasty,Wordle,256,True
12734,u/bartman2099,"['train', 'nasty']",2,nasty,Wordle,256,True
12735,u/[deleted],"['grate', 'nasty']",2,nasty,Wordle,256,True
12736,u/Hydreigon_Lord,"['glyph', 'nifty', 'nutty', 'nasty']",4,nasty,Wordle,256,True
12737,u/PlatinumTaq,"['crane', 'tonal', 'stain', 'antsy', 'nasty']",5,nasty,Wordle,256,True
12738,u/red_tuna,"['space', 'hands', 'nasty']",3,nasty,Wordle,256,True
12739,u/Throwaway_bicycling,"['crane', 'nasty']",2,nasty,Wordle,256,True
12740,u/soap_lady,"['crust', 'stand', 'nasty']",3,nasty,Wordle,256,True
12741,u/Speye,"['peace', 'fight', 'mound', 'mourn']",4,mourn,Wordle,257,True
12742,u/LawfulnessUpbeat5646,"['plant', 'tanks', 'satin', 'nasty']",4,nasty,Wordle,256,True
12743,u/izzyvet,"['shade', 'point', 'nasty']",3,nasty,Wordle,256,False
12744,u/Xhaos127,"['haste', 'pasta', 'tasty', 'nasty']",4,nasty,Wordle,256,True
12745,u/zangco,"['phone', 'manly', 'nasty']",3,nasty,Wordle,256,True
12746,u/saltybearsfan,"['share', 'nasty']",2,nasty,Wordle,256,True
