entry_id,author,wordle_guesses,num_guesses,wordle_answer,wordle_title,wordle_id,hard_mode
76654,u/IndigoMoonAdventure,"['spend', 'which', 'chair', 'itchy']",4,itchy,Wordle,4,True
76655,u/OneOfManyChildren,"['stare', 'clean']",2,clean,Wordle,2,True
76656,u/Trouble1122,"['later', 'mount', 'stick', 'itchy']",4,itchy,Wordle,4,True
76657,u/seafoodrice,"['salet', 'bleak', 'clean']",3,clean,Wordle,3,True
76658,u/MasqueradeOfSilence,"['atone', 'stick', 'itchy']",3,itchy,Wordle,3,True
76659,u/R0CKAFELLA_,"['least', 'truth', 'pithy', 'itchy']",4,itchy,Wordle,4,True
76660,u/Skiapodes,"['itchy', 'clear', 'clean']",3,clean,Wordle,3,True
76661,u/IllogicalIllusionist,"['avoid', 'lathe', 'realm', 'speal', 'bleak', 'clean']",6,clean,Wordle,6,True
76662,u/SnooCookie,"['raise', 'ocean', 'clean']",3,clean,Wordle,3,True
76663,u/EtsyCorn,"['heart', 'think', 'width', 'focus', 'itchy']",5,itchy,Wordle,5,False
76664,u/RabJos,"['stale', 'delay', 'clean']",3,clean,Wordle,3,True
76665,u/alandizzle,"['crate', 'lions', 'thick', 'itchy']",4,itchy,Wordle,4,False
76666,u/abdoer2000,"['plate', 'stoic', 'itchy']",3,itchy,Wordle,3,True
76667,u/WaveParticle1729,"['aides', 'crane', 'clean']",3,clean,Wordle,3,True
76669,u/dimitarnestorov,"['audio', 'gamer', 'petal', 'bleak', 'fleas', 'clean']",6,clean,Wordle,6,True
76670,u/RacerGal,"['spend', 'claim', 'trick', 'itchy']",4,itchy,Wordle,4,True
76671,u/AnvilOfMisanthropy,"['audio', 'stein', 'itchy']",3,itchy,Wordle,3,True
76672,u/RyanReignbow,"['arise', 'timid', 'itchy']",3,itchy,Wordle,3,True
76673,u/LadyRaoulDukeGonzo,"['stare', 'itchy']",2,itchy,Wordle,2,True
76674,u/Happifier,"['psych', 'ocean', 'clean']",3,clean,Wordle,3,True
76675,u/Ralamadul,"['heist', 'plane', 'clean']",3,clean,Wordle,3,True
76676,u/Gushami,"['argue', 'pleat', 'bleak', 'clean']",4,clean,Wordle,4,True
76677,u/andreasbjorne,"['penis', 'crane', 'clean']",3,clean,Wordle,3,True
76678,u/ET_616,"['stare', 'vegan', 'clean']",3,clean,Wordle,3,True
76679,u/Bogus4Real,"['synch', 'yacht', 'techy', 'itchy']",4,itchy,Wordle,524,True
76680,u/anthonyqld,"['alone', 'clean']",2,clean,Wordle,2,True
